idx|tags|query|parameter
1||normalize EACHPEACH[{select from x where time<0D8}; quote]|
2||normalize EACHPEACH[{select from x where seq=0i}; trade]|
3||normalize EACHPEACH[{select from x where 0i<seq, 0e < price, time within 0D 1D, size < 2147483647e}; trade]|
4||normalize EACHPEACH[{select from x where time within 0D10:00:00 0D10:00:10}; trade]|
5||update sym: infreqInstr from select from quote[infreqInstr] where time within 0D08:30 0D16:30|
6||update sym: freqInstr from select from quote[freqInstr] where time within 0D08:30 0D16:30|
7||normalize EACHPEACH[{select from x where time within 0D08:30 0D08:35}; fiftyInstrs#quote]|
8||normalize EACHPEACH[{select from x where time within 0D08:30 0D08:35}; thousandInfreqInstrs#quote]|
9||normalize EACHPEACH[{select time, price, size, stop, cond, ex from x where source = "N"}; trade]|
10||select time, mid: (bid + ask) %2 from quote infreqInstr|
11||select time, mid: (bid + ask) %2 from quote freqInstr|
12||select time, mid: (bid + ask) %2 from select from quote infreqInstr|
13||select time, mid: (bid + ask) %2 from select from quote freqInstr|
14||`mid xdesc select time, mid: (bid + ask) %2 from quote infreqInstr|
15||`mid xdesc select time, mid: (bid + ask) %2 from quote freqInstr|
16||select sym: infreqInstr, time, bid, ask, bsize, asize, cond, ex from quote infreqInstr|
17||select sym: freqInstr, time, bid, ask, bsize, asize, cond, ex from quote freqInstr|
18||normalize EACHPEACH[{select time, bid, ask, bsize, asize, cond, ex from x where 2000i<bsize+asize}; fiftyInstrs#quote]|
19||normalize EACHPEACH[{select time, bid, ask, bsize, asize, cond, ex from x where 2000i<bsize+asize}; thousandInfreqInstrs#quote]|
20||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote infreqInstr|
21||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote freqInstr|
22||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote infreqInstr|
23||select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote freqInstr|
24||.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote infreqInstr|
25||.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote freqInstr|
26|sortcouldbesaved|`time xasc(uj/) EACHPEACH[{(`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute from quote x}; fiftyInstrs inter key quote]|
27|sortcouldbesaved|`time xasc(uj/) EACHPEACH[{(`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute from quote x}; thousandInfreqInstrs inter key quote]|
28|sortcouldbesaved|fills `time xasc (uj/) EACHPEACH[{(`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute from quote x}; fiftyInstrs inter key quote]|
29|sortcouldbesaved|fills `time xasc (uj/) EACHPEACH[{(`time, x) xcol select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute from quote x}; thousandInfreqInstrs inter key quote]|
30||select avgSpread: avg ask - bid by 10 xbar time.minute from quote infreqInstr|
31||select avgSpread: avg ask - bid by 10 xbar time.minute from quote freqInstr|
32||normalize EACHPEACH[{0!select avgSpread: avg ask - bid by 10 xbar time.minute from x}; (fiftyInstrs inter key quote)#quote]|
33||normalize EACHPEACH[{0!select avgSpread: avg ask - bid by 10 xbar time.minute from x}; (thousandInfreqInstrs inter key quote)#quote]|
34||select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote infreqInstr|
35||select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote freqInstr|
36||select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread from raze EACHPEACH[{select sizes: asize + bsize, spread: ask - bid from x where time within 0D08:30 0D08:35}; quote]
37||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote infreqInstr|
38||select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote freqInstr|
39||select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote infreqInstr)|
40||select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote freqInstr)|
41||normalize EACHPEACH[{0!select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from x}; (fiftyInstrs inter key quote)#quote]|
42||normalize EACHPEACH[{0!select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from x}; (thousandInfreqInstrs inter key quote)#quote]|
43||select avgWeightedSpread: size wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by ex from normalize EACHPEACH[{select exnames ex, spread: ask - bid, size: asize + bsize from x where shortSaleRestrictionIndicator="0"}; quote]|
44||normalize EACHPEACH[{select distinct ex from x where size > 700000e}; trade]|
45||normalize EACHPEACH[{select weightedBidPrice: bsize wavg bid, weightedOfferPrice: asize wavg ask from x}; fiftyInstrs#quote]|
46||normalize EACHPEACH[{select weightedBidPrice: bsize wavg bid, weightedOfferPrice: asize wavg ask from x}; thousandInfreqInstrs#quote]|
47||select time, 20 mavg price from trade infreqInstr|
48||select time, 20 mavg price from trade freqInstr|
