solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
Polars (Lazy)|memory|nyi|16|Python|polars|||0|load a partition into memory|success|97968611356||||60792242|||299114739
Polars (Lazy)|memory|nyi|16|Python|polars|||-1|transform|success|3361624067||||0|||300517699
Polars (Lazy)|memory|nyi|16|Python|polars|||-2|sort|success|28880967765||||0|||300517656
Polars (Lazy)|memory|nyi|16|Python|polars|||1|"quote.filter(pl.col(""time"") < timedelta(hours=8))"|success|166873463|163916179|165424801||0|0|0|6984098
Polars (Lazy)|memory|nyi|16|Python|polars|||2|"trade.filter(pl.col(""seq"") == 0)"|success|5595405|5196071|5171174||0|0|0|0
Polars (Lazy)|memory|nyi|16|Python|polars|||3|"trade.filter(pl.col(""seq"") > 0, pl.col(""price"") > 0, pl.col(""time"").is_between(timedelta(), timedelta(days=1), closed=""left""), pl.col(""size"") < 2147483647)"|success|14604265|13394985|13964367||0|0|0|9636118
Polars (Lazy)|memory|nyi|16|Python|polars|||4|"trade.filter(pl.col(""time"").is_between(timedelta(hours=10), timedelta(hours=10, seconds=10), closed=""both""))"|success|4669885|4416001|4301968||0|0|0|9191
Polars (Lazy)|memory|nyi|16|Python|polars|||5|"quote.filter(pl.col(""sym"") == infreqInstr, pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=16, minutes=30), closed=""both""))"|success|194805562|195900518|194413859||0|0|0|201
Polars (Lazy)|memory|nyi|16|Python|polars|||6|"quote.filter(pl.col(""sym"") == freqInstr, pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=16, minutes=30), closed=""both""))"|success|992725867|955207095|908973728||0|0|0|5816607
Polars (Lazy)|memory|nyi|16|Python|polars|||7|"quote.filter(pl.col(""sym"").is_in(fiftyInstrs), pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=8, minutes=35), closed=""both""))"|success|674443547|641427737|630551873||0|0|0|110
Polars (Lazy)|memory|nyi|16|Python|polars|||8|"quote.filter(pl.col(""sym"").is_in(thousandInfreqInstrs), pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=8, minutes=35), closed=""both""))"|success|751976687|723851837|754246430||0|0|0|268
Polars (Lazy)|memory|nyi|16|Python|polars|||9|"trade.filter(pl.col(""source"") == ""N"").select(""sym"", ""time"", ""price"", ""size"", ""stop"", ""cond"", ""ex"")"|success|78203935|26630199|25236871||0|0|0|1982380
Polars (Lazy)|memory|nyi|16|Python|polars|||10|"quote.filter(pl.col(""sym"") == infreqInstr).select(""time"", mid=((pl.col(""bid"") + pl.col(""ask"")) / 2))"|success|46226146|47784363|48969606||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||11|"quote.filter(pl.col(""sym"") == freqInstr).select(""time"", mid=((pl.col(""bid"") + pl.col(""ask"")) / 2))"|success|185472652|180031600|183199273||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||12|"quote.filter(pl.col(""sym"") == infreqInstr).select(pl.all()).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2)"|success|45639609|46190942|48887672||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||13|"quote.filter(pl.col(""sym"") == freqInstr).select(pl.all()).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2)"|success|185733987|182900881|180446288||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||14|"quote.filter(pl.col(""sym"") == infreqInstr).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2).sort(""mid"", descending=True)"|success|47078124|46336513|45657144||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||15|"quote.filter(pl.col(""sym"") == freqInstr).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2).sort(""mid"", descending=True)"|success|562186212|529848519|529044453||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||16|"quote.filter(pl.col(""sym"") == infreqInstr).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|60748958|62889586|60303133||0|0|0|86
Polars (Lazy)|memory|nyi|16|Python|polars|||17|"quote.filter(pl.col(""sym"") == freqInstr).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|344181292|321309540|323155613||0|0|0|2176321
Polars (Lazy)|memory|nyi|16|Python|polars|||18|"quote.filter(pl.col(""sym"").is_in(fiftyInstrs), pl.col(""bsize"") + pl.col(""asize"") > 2000).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|766218203|751371902|754131767||0|0|0|38902
Polars (Lazy)|memory|nyi|16|Python|polars|||19|"quote.filter(pl.col(""sym"").is_in(thousandInfreqInstrs), pl.col(""bsize"") + pl.col(""asize"") > 2000).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|832927407|824874525|800705829||0|0|0|3042
Polars (Lazy)|memory|nyi|16|Python|polars|||20|"quote.filter(pl.col(""sym"") == infreqInstr).select(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid""))"|success|45372094|42816227|42388219||0|0|0|0
