solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|0|load a partition into memory|success|18456662444|||164351007|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-1|transform|success|0|||0|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-2|sort|success|195800615492|||158913791|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-3|index|success|5435650141|||66236246|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|1|select from quote where time<0D8|success|182350710|184051872|183835745|4429186|0|0|0|4325376
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|2|select from trade where seq=0i|success|15461382|15099905|16763671|67109|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|3|select from trade where 0i<seq, 0e < price, time within 0D 1D, size < 2147483647e|success|750873569|747111520|748370002|5972690|0|0|0|5308416
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|4|select from trade where time within 0D10:00:00 0D10:00:10|success|835644|609071|576132|5833|0|0|0|5184
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|5|select from quote where sym = infreqInstr, time within 0D08:30 0D16:30|success|201425|129115|110306|152|0|0|0|132
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|6|select from quote where sym = freqInstr, time within 0D08:30 0D16:30|success|2787381347|2735811150|2751323248|4966057|0|0|0|4325376
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|7|select from quote where time within 0D08:30 0D08:35, sym in fiftyInstrs|success|6822167|6239055|6087105|52429|0|0|0|528
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|8|select from quote where time within 0D08:30 0D08:35, sym in thousandInfreqInstrs|success|6046384|5800531|5726059|52429|0|0|0|528
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|9|select sym, time, price, size, stop, cond, ex from trade where source = "N"|success|168961562|169108484|169788933|1644168|0|0|0|1343488
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|10|select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|71588|25860|24657|115|0|0|0|64
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|11|select time, mid: (bid + ask) %2 from quote where sym = freqInstr|success|603978928|605065820|604675451|1879049|0|0|0|1048576
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|12|select time, mid: (bid + ask) %2 from select from quote where sym = infreqInstr|success|311671|80712|75404|353|0|0|0|64
